date,is_edge_excluded,is_candidate_excluded,is_phase_excluded,excluded_reason,nearest_candidate_date,nearest_candidate_distance_days
2024-01-06,False,False,False,,2023-12-21,16
2024-01-07,False,False,False,,2024-01-23,16
2024-01-08,False,False,False,,2024-01-23,15
2024-01-09,False,False,False,,2024-01-23,14
2024-01-10,False,False,False,,2024-01-23,13
2024-01-11,False,False,False,,2024-01-23,12
2024-01-12,False,False,False,,2024-01-23,11
2024-01-13,False,False,False,,2024-01-23,10
2024-01-14,False,False,False,,2024-01-23,9
2024-01-15,False,False,False,,2024-01-23,8
